mp-ids;Icohp_mean_avg;Icohp_mean_max;Icohp_mean_min;Icohp_mean_std;Icohp_sum_avg;Icohp_sum_max;Icohp_sum_min;Icohp_sum_std;bonding_perc_avg;bonding_perc_max;bonding_perc_min;bonding_perc_std;antibonding_perc_avg;antibonding_perc_min;antibonding_perc_max;antibonding_perc_std;Made_Loe;Made_Mull
mp-20450;-1.76625;-0.63;-5.96;1.617234812;-7.64375;-0.63;-19.04;7.373891336;0.92069625;1;0.72093;0.086993425;0.07930375;0;0.27907;0.086993425;-24.79;-27.42
mp-13658;-14.815;-14.74;-14.89;0.075;-29.71;-14.74;-44.68;14.97;0.99378;0.99689;0.99067;0.00311;0.00622;0.00311;0.00933;0.00311;-23.91;-23.89
mp-8016;-2.84;-1.25;-4.43;1.59;-8.5125;-2.49;-17.72;5.780308707;0.8528025;0.99395;0.71151;0.140872947;0.1471975;0.00605;0.28849;0.140872947;-5.64;-13.23
mp-3277;-8.79;-7.94;-9.64;0.85;-21.9675;-7.94;-38.54;13.4078622;0.9997775;1;0.99937;0.000258106;0.0002225;0;0.00063;0.000258106;-35.68;-55.33
mp-862947;-0.276;-0.11;-0.41;0.137054734;-1.652;-0.44;-3.24;0.981802424;0.704936;0.76645;0.63636;0.054404404;0.295064;0.23355;0.36364;0.054404404;-27.29;-27.48
mp-11123;-1.157142857;-0.25;-2.25;0.75867769;-3.928571429;-0.74;-13.31;4.022882508;0.882842857;1;0.73342;0.093398887;0.117157143;0;0.26658;0.093398887;-30.46;-35.75
mp-8962;-0.416;-0.23;-0.72;0.213597753;-2.212;-0.94;-4.31;1.179142061;0.799844;0.94815;0.64054;0.132261448;0.200156;0.05185;0.35946;0.132261448;-26.15;-26.85
mp-643260;-0.898;-0.22;-1.85;0.778752849;-2.446;-0.35;-7.39;2.534344886;0.926622;1;0.67347;0.126897988;0.073378;0;0.32653;0.126897988;-5.33;-7.44
mp-549737;-6.84;-1.37;-9.61;3.867979662;-13.25;-1.37;-28.84;11.51732897;0.920046667;0.98782;0.79439;0.08894437;0.079953333;0.01218;0.20561;0.08894437;-66.82;-87.94
mp-1565;-2.156666667;-0.35;-3.06;1.277506251;-13.66;-4.21;-24.51;8.346356491;0.9366;0.99554;0.81913;0.083064002;0.0634;0.00446;0.18087;0.083064002;-18.87;-25.06
mp-14983;-2.785714286;-0.52;-4.53;1.279049392;-6.778571429;-0.52;-13.59;4.862601974;0.908871429;0.99926;0.8179;0.073630017;0.091128571;0.00074;0.1821;0.073630017;-0.51;-1.48
mp-546011;-1.508571429;-0.48;-3.07;1.000006122;-6.032857143;-1.9;-12.26;3.999384647;0.916085714;0.98187;0.78529;0.07175724;0.083914286;0.01813;0.21471;0.07175724;-42.06;-55.24
mp-23295;-0.323333333;-0.17;-0.4;0.10842304;-2.293333333;-2.04;-2.42;0.179133718;0.896086667;0.94142;0.87342;0.032055507;0.103913333;0.05858;0.12658;0.032055507;-4.23;-4.8
mp-14116;-2.32;-2.26;-2.38;0.055226805;-7.04;-2.26;-14.24;4.499905555;0.8182575;0.84549;0.79076;0.026995395;0.1817425;0.15451;0.20924;0.026995395;-14.81;-18.4
mp-9881;-1.09;-0.33;-2.17;0.882088431;-2.338;-0.66;-4.34;1.641565107;0.817636;0.94118;0.61404;0.120767006;0.182364;0.05882;0.38596;0.120767006;-8.52;-9.7
mp-14588;-1.058;-0.32;-2.13;0.871330018;-3.612;-0.96;-8.51;2.667961019;0.809914;0.9738;0.66135;0.099666216;0.190086;0.0262;0.33865;0.099666216;-12.19;-16.41
mp-2352;-0.44;-0.12;-0.6;0.22627417;-2.653333333;-0.71;-4.83;1.690055883;0.87859;0.97416;0.68939;0.133786947;0.12141;0.02584;0.31061;0.133786947;-12.74;-12.93
mp-13275;-0.341428571;-0.13;-0.51;0.152543069;-1.614285714;-0.53;-3.05;0.765410387;0.861222857;0.98086;0.73451;0.071928712;0.138777143;0.01914;0.26549;0.071928712;-64.58;-62.84
