mp-ids,Icohp_mean_avg,Icohp_mean_max,Icohp_mean_min,Icohp_mean_std,Icohp_sum_avg,Icohp_sum_max,Icohp_sum_min,Icohp_sum_std,bonding_perc_avg,bonding_perc_max,bonding_perc_min,bonding_perc_std,antibonding_perc_avg,antibonding_perc_min,antibonding_perc_max,antibonding_perc_std,Madelung_Mull,Madelung_Loew
mp-27456,-0.355,-0.17,-0.48,0.11499999999999999,-2.03,-0.66,-3.73,1.0988402977685154,0.8560524999999999,0.91667,0.77247,0.055537680170763354,0.1439475,0.08333,0.22753,0.05553768017076335,-62.38,-53.34
mp-27546,-0.44399999999999995,-0.12,-0.55,0.16353592877407705,-2.072,-0.98,-2.5,0.5633258382144388,0.880916,0.97338,0.81337,0.07577299482005445,0.119084,0.02662,0.18663,0.07577299482005445,-40.66,-35.93
mp-27549,-0.5883333333333333,-0.19,-1.24,0.4626523773009517,-1.7116666666666667,-0.37,-2.5,0.8202116935415041,0.8750483333333333,0.97328,0.70787,0.0928125373026487,0.12495166666666668,0.02672,0.29213,0.0928125373026487,-16.64,-15.27
mp-27562,-1.3066666666666669,-0.25,-2.28,0.9326247310086136,-4.838333333333334,-0.5,-9.12,3.4844914342778277,0.8298683333333333,0.97826,0.64151,0.11793241135168153,0.17013166666666665,0.02174,0.35849,0.11793241135168152,-29.93,-25.13
mp-2758,-0.53,-0.53,-0.53,0.0,-3.21,-3.21,-3.21,0.0,0.86036,0.86036,0.86036,0.0,0.13964,0.13964,0.13964,0.0,-19.73,-17.77
mp-27608,-3.2939999999999996,-1.68,-5.54,1.8361655698765296,-11.401999999999997,-3.37,-33.25,11.028801204120056,0.9785559999999999,0.99701,0.96078,0.01584402802320167,0.021444,0.00299,0.03922,0.015844028023201676,-208.44,-181.41
mp-27678,-1.6485714285714288,-0.73,-2.29,0.5711749437138596,-7.1242857142857146,-4.4,-10.72,1.9544882935939827,0.9294857142857144,0.96218,0.90392,0.021732436492910037,0.07051428571428571,0.03782,0.09608,0.021732436492910026,-8.93,-4.05
mp-27691,-1.0699999999999998,-0.25,-2.21,0.9331237860005499,-3.9779999999999993,-0.43,-13.29,4.7407104952738885,0.83733,0.99003,0.60417,0.14394178198146637,0.16267,0.00997,0.39583,0.1439417819814664,-10.23,-7.94
mp-27716,-0.8674999999999999,-0.29,-2.28,0.8207275735589732,-3.04375,-0.57,-6.84,2.3387332976421233,0.90034625,0.97,0.82022,0.05678586860687702,0.09965375,0.03,0.17978,0.05678586860687701,-10.94,-9.5
mp-27791,-0.9688888888888889,-0.19,-1.91,0.7346268053984122,-3.036666666666667,-0.19,-6.52,2.287779126868093,0.8905577777777778,0.99098,0.74359,0.08987507994467504,0.10944222222222225,0.00902,0.25641,0.08987507994467504,-266.9,-240.51
mp-27827,-2.89,-2.89,-2.89,0.0,-10.125,-2.89,-17.36,7.234999999999999,0.97734,0.97786,0.97682,0.0005199999999999649,0.02266,0.02214,0.02318,0.0005199999999999996,-19.21,-14.26
mp-27828,-2.0066666666666664,-0.32,-2.85,1.1926534376013103,-7.296666666666667,-1.91,-17.13,6.963798452632648,0.95507,0.9703,0.92511,0.02118590254548216,0.04493,0.0297,0.07489,0.021185902545482138,-18.71,-14.31
mp-27829,-1.068,-0.26,-2.25,0.9653476057876769,-4.052,-0.32,-13.52,4.831982615862768,0.8442719999999999,0.95833,0.62733,0.12037227544580187,0.155728,0.04167,0.37267,0.12037227544580188,-13.46,-11.2
mp-27830,-0.9383333333333335,-0.25,-2.24,0.9209309902967154,-3.6616666666666666,-0.32,-13.45,4.461264457029594,0.8432883333333333,0.9457,0.60667,0.11214966331004099,0.15671166666666667,0.0543,0.39333,0.112149663310041,-13.29,-11.39
mp-27831,-3.59,-3.59,-3.59,0.0,-12.555,-3.59,-21.52,8.965,0.937405,0.93779,0.93702,0.0003850000000000242,0.062595,0.06221,0.06298,0.00038499999999999646,-18.13,-12.99
mp-27839,-2.91,-2.91,-2.91,0.0,-10.19,-2.91,-17.47,7.279999999999999,0.98056,0.98112,0.98,0.0005600000000000049,0.01944,0.01888,0.02,0.0005599999999999997,-19.35,-14.15
mp-2784,-0.55,-0.55,-0.55,0.0,-3.305,-2.2,-4.41,1.105,0.9921800000000001,0.99329,0.99107,0.0011099999999999999,0.00782,0.00671,0.00893,0.0011100000000000003,-9.64,-7.08
mp-27869,-0.362,-0.19,-0.45,0.09495261976375376,-1.922,-1.09,-2.71,0.606181490974444,0.77257,0.8303,0.70262,0.05771889534632484,0.22742999999999997,0.1697,0.29738,0.05771889534632485,-40.25,-38.95
mp-27882,-4.08,-4.08,-4.08,0.0,-14.280000000000001,-4.08,-24.48,10.200000000000001,0.9836450000000001,0.98384,0.98345,0.00019500000000000073,0.016355,0.01616,0.01655,0.000194999999999999,-11.9,-8.69
mp-27904,-1.36625,-0.5,-2.24,0.714106740970844,-4.3125,-0.5,-6.72,2.0706203780509838,0.8717,0.98785,0.69672,0.08776421964559361,0.1283,0.01215,0.30328,0.08776421964559361,-4.49,-2.41
