,mae_train,mae_test,std_mae_train,std_mae_test,max_mae_error_train,max_mae_error_test,min_mae_error_train,min_mae_error_test,mean_train_rmse,mean_test_rmse,mean_train_r2,mean_test_r2,std_train_rmse,std_test_rmse,std_train_r2,std_test_r2
LinearRegression,116.29748416532536,123.94394135744203,142.94045335855347,162.19865862700343,1620.9962497082477,1847.3283548460772,1.2586440334416693e-08,0.07480707332706515,184.16288513578792,202.58922927170036,0.8608731430844806,0.8294178191245496,6.411689948483478,25.06211568712127,0.005144430290082027,0.005144430290082027
Ridge,106.16966904492887,128.91021515786906,141.90569151783268,365.20042508841914,1753.1603700261019,11104.654539220497,0.013183842817625191,0.14161649109473728,176.5024413191296,309.249540507232,0.8717534993683085,0.46627034955825336,16.00350332431126,233.13926257255784,0.019413189802785995,0.019413189802785995
Lasso,107.47400494051656,113.57989082612583,159.4367619892114,172.6152131275402,1968.2717453675248,1955.1192851261976,0.0012255679633312866,0.0699548275097186,192.09930576108573,203.0569591212871,0.8485683821164894,0.8288199713984072,8.282483786129982,38.26584319672986,0.008986168834985726,0.008986168834985726
RandomForestRegressor,20.384510907939024,53.419690416670385,45.47487501792807,108.18703627659887,848.2540944028715,1780.945552320082,1.5916157281026244e-12,0.013999998887982201,49.75752232771366,119.2987981396689,0.9898124825092764,0.939862307379034,2.771554556406797,18.052559512644088,0.001113809907231597,0.001113809907231597
GradientBoostingRegressor,7.897934593880252,46.6950146605165,6.389768702924452,95.36678032884355,47.494322234788,1479.7015546278005,0.0014280280205412055,0.052158710910930495,10.148337673815258,104.04061067065386,0.9995770794952026,0.9545775877895778,0.4666448160059162,21.232016289395965,3.101977806794492e-05,3.101977806794492e-05
